Asset Name,Asset Type,Unity Path,Source Folder,Is Enemy Related,Is Animation Related,Clip Count,Clip Names,Has Avatar,Rig / Avatar Notes,Likely Usage,Notes
"SM_Prop_Pot_Street_01","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_Pot_Street_01.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_Pot_Street_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_Pot_Street_01Avatar"
"SM_Prop_Scaffold_01","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_Scaffold_01.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_Scaffold_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_Scaffold_01Avatar"
"SM_Prop_Scaffold_Base_01","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_Scaffold_Base_01.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_Scaffold_Base_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_Scaffold_Base_01Avatar"
"SM_Prop_ShopFridge_02","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_ShopFridge_02.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_ShopFridge_02Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_ShopFridge_02Avatar"
"SM_Prop_Wall_Junk_03_Tarp","Avatar","Assets/PolygonApocalypse/Models/SM_Prop_Wall_Junk_03_Tarp.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Prop_Wall_Junk_03_TarpAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Prop_Wall_Junk_03_TarpAvatar"
"SM_Veh_Attach_Plating_29","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_29.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_29Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_29Avatar"
"SM_Veh_Attach_Plating_30","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_30.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_30Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_30Avatar"
"SM_Veh_Attach_Plating_31","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_31.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_31Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_31Avatar"
"SM_Veh_Attach_Plating_32","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_32.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_32Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_32Avatar"
"SM_Veh_Attach_Plating_33","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_33.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_33Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_33Avatar"
"SM_Veh_Attach_Plating_34","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_34.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_34Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_34Avatar"
"SM_Veh_Attach_Plating_35","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_35.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_35Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_35Avatar"
"SM_Veh_Attach_Plating_36","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_36.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_36Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_36Avatar"
"SM_Veh_Attach_Plating_37","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_37.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_37Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_37Avatar"
"SM_Veh_Attach_Plating_38","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_38.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_38Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_38Avatar"
"SM_Veh_Attach_Plating_39","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_39.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_39Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_39Avatar"
"SM_Veh_Attach_Plating_40","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_40.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_40Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_40Avatar"
"SM_Veh_Attach_Plating_41","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_41.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_41Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_41Avatar"
"SM_Veh_Attach_Plating_42","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_42.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_42Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_42Avatar"
"SM_Veh_Attach_Plating_43","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_43.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_43Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_43Avatar"
"SM_Veh_Attach_Plating_44","Avatar","Assets/PolygonApocalypse/Models/SM_Veh_Attach_Plating_44.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Veh_Attach_Plating_44Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Veh_Attach_Plating_44Avatar"
"FX_Bullet_Trail","Avatar","Assets/PolygonApocalypse/Prefabs/FX/Misc/FX_Bullet_Trail.fbx","PolygonApocalypse","No","No",0,"","Yes","FX_Bullet_TrailAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): FX_Bullet_TrailAvatar"
"FX_Ring_01","Avatar","Assets/PolygonApocalypse/Prefabs/FX/Misc/FX_Ring_01.fbx","PolygonApocalypse","No","No",0,"","Yes","FX_Ring_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): FX_Ring_01Avatar"
"FX_Sphere_01","Avatar","Assets/PolygonApocalypse/Prefabs/FX/Misc/FX_Sphere_01.fbx","PolygonApocalypse","No","No",0,"","Yes","FX_Sphere_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): FX_Sphere_01Avatar"
"FX_Sphere_02","Avatar","Assets/PolygonApocalypse/Prefabs/FX/Misc/FX_Sphere_02.fbx","PolygonApocalypse","No","No",0,"","Yes","FX_Sphere_02Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): FX_Sphere_02Avatar"
"FX_Sphere_03","Avatar","Assets/PolygonApocalypse/Prefabs/FX/Misc/FX_Sphere_03.fbx","PolygonApocalypse","No","No",0,"","Yes","FX_Sphere_03Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): FX_Sphere_03Avatar"
"FX_Sphere_Pivot","Avatar","Assets/PolygonApocalypse/Prefabs/FX/Misc/FX_Sphere_Pivot.fbx","PolygonApocalypse","No","No",0,"","Yes","FX_Sphere_PivotAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): FX_Sphere_PivotAvatar"
"FX_Tower_01","Avatar","Assets/PolygonApocalypse/Prefabs/FX/Misc/FX_Tower_01.fbx","PolygonApocalypse","No","No",0,"","Yes","FX_Tower_01Avatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): FX_Tower_01Avatar"
"SM_Flame_FX","Avatar","Assets/PolygonApocalypse/Prefabs/FX/Misc/SM_Flame_FX.fbx","PolygonApocalypse","No","No",0,"","Yes","SM_Flame_FXAvatar IsHuman=False IsValid=True","Not Animation","Avatar subasset(s): SM_Flame_FXAvatar"
"Characters","FBX / ModelImporter","Assets/PolygonApocalypse/Models/Characters.fbx","PolygonApocalypse","No","No",0,"","Yes","ImportAnimation=False; AnimationType=Human; AvatarSetup=CreateFromThisModel; HasAvatar=True","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Apartment_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Apartment_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_AutoRepair_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_AutoRepair_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Beam_Concrete_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Beam_Concrete_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Beam_Curved_Concrete_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Beam_Curved_Concrete_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Beam_Curved_Wood_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Beam_Curved_Wood_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Beam_End_Curved_Concrete_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Beam_End_Curved_Concrete_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Beam_End_Curved_Wood_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Beam_End_Curved_Wood_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Beam_Wood_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Beam_Wood_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ceiling_Concrete_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ceiling_Concrete_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ceiling_Concrete_02","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ceiling_Concrete_02.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ceiling_Corrugated_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ceiling_Corrugated_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ceiling_Vent_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ceiling_Vent_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ceiling_Wood_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ceiling_Wood_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Concrete_Floor_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Concrete_Floor_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Entrance_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Entrance_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Concrete_Open_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Concrete_Open_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Concrete_Rust_Open_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Concrete_Rust_Open_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Container_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Container_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Container_x2_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Container_x2_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Pallet_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Pallet_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Pallet_02","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Pallet_02.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Stone_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Stone_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Stone_x2_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Stone_x2_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Wood_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Wood_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Wood_02","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Wood_02.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Floor_Wood_03","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Floor_Wood_03.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Hatch_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Hatch_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Hatch_Round_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Hatch_Round_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ladder_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ladder_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ladder_End_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ladder_End_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ladder_End_Rust_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ladder_End_Rust_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Ladder_Rust_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Ladder_Rust_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_PillarBlock_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_PillarBlock_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Stairs_Double_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Stairs_Double_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Stairs_Single_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Stairs_Single_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Wall_Caution_Door_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Wall_Caution_Door_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
"SM_Bld_Bunker_Wall_Concrete_Door_01","FBX / ModelImporter","Assets/PolygonApocalypse/Models/SM_Bld_Bunker_Wall_Concrete_Door_01.fbx","PolygonApocalypse","No","No",0,"","No","ImportAnimation=False; AnimationType=None; AvatarSetup=NoAvatar; HasAvatar=False","Unknown","No imported/embedded animation clips detected"
